,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Wdr78,0.016084988,-1.007905639,0.096,0.183,1
Cwc15,0.016086706,0.212490812,0.952,0.902,1
Gas2,0.016094655,-0.777916784,0.374,0.457,1
Bcar1,0.016095299,0.320159505,0.642,0.506,1
B3gnt8,0.016141119,-0.635642407,0.369,0.451,1
Deup1,0.016141483,0.469268302,0.348,0.22,1
Nos3,0.016160655,0.523488665,0.316,0.201,1
Cdr2,0.016192063,-0.295228752,0.802,0.872,1
Ciao2a,0.016219546,0.472760401,0.572,0.415,1
Mrpl17,0.016275676,0.159571239,0.947,0.915,1
Fbxw11,0.016362497,0.20697586,0.92,0.927,1
Adgra2,0.016370457,1.055782905,0.198,0.11,1
Aip,0.016385271,-0.176472394,0.973,0.963,1
Arhgef12,0.016424231,-0.214592923,0.936,0.951,1
Grk2,0.016431454,-0.231874712,0.963,0.963,1
Raver2,0.016447215,-1.318647599,0,0.03,1
Gm45641,0.016447215,-1.599889116,0,0.03,1
Gm28229,0.016447215,-1.648163409,0,0.03,1
Xrcc3,0.016447215,-1.369500985,0,0.03,1
Gm32509,0.016447215,-1.425516641,0,0.03,1
Actr1b,0.016498029,-0.222306796,0.93,0.97,1
Gna12,0.016517238,-0.330011307,0.802,0.78,1
Sntg1,0.016521953,-0.53692772,0.61,0.659,1
Abca8a,0.016542762,0.538429256,0.497,0.372,1
Get4,0.016564887,0.373186003,0.733,0.634,1
Glrx,0.016574054,0.500990017,0.401,0.262,1
Utp6,0.016604211,-0.506121051,0.412,0.494,1
Aplp1,0.016645582,-0.191467545,0.968,0.957,1
Irgq,0.016649075,0.230915173,0.888,0.817,1
Gprc5c,0.016651597,0.84485852,0.15,0.067,1
Irf2bp2,0.016652534,-0.404066242,0.706,0.762,1
Pde7a,0.016653848,-0.453494179,0.471,0.567,1
Rcn2,0.016663692,-0.47282852,0.754,0.762,1
Il1rapl1,0.016689551,0.366543409,0.31,0.189,1
Zc3h6,0.016703067,0.466650466,0.535,0.427,1
Tgfbrap1,0.016737575,-0.628057383,0.428,0.5,1
Zfp462,0.016743747,-0.37374357,0.674,0.75,1
Zmym2,0.01674876,-0.283135834,0.775,0.823,1
Tnik,0.016765249,-0.318263487,0.695,0.756,1
Gm17484,0.01678095,-0.606441271,0.219,0.329,1
Rcbtb1,0.016788749,-0.364927817,0.604,0.683,1
Gtf2e1,0.016818976,-0.605250357,0.385,0.482,1
Triap1,0.016847352,0.386804053,0.877,0.805,1
Rnf208,0.016867787,-0.324609974,0.861,0.902,1
Drg1,0.016869623,-0.365573651,0.845,0.854,1
Pvr,0.01687186,0.42359791,0.16,0.073,1
Foxo4,0.016901588,-1.166133163,0.048,0.116,1
Lamp2,0.016930985,0.227674773,0.947,0.884,1
Rab6a,0.016937618,0.108504366,0.995,0.982,1
Armc10,0.016947639,0.507475401,0.38,0.25,1
Fastkd2,0.016964987,-0.660993611,0.235,0.341,1
Tex9,0.016992525,0.937582425,0.187,0.098,1
Izumo4,0.016997301,-0.323228395,0.701,0.756,1
Inpp4a,0.017005863,-0.170706359,0.824,0.86,1
Plxna1,0.01700673,-1.129179828,0.155,0.238,1
