,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gpr22,0.007965165,-0.183255915,0.765,0.811,1
Atxn1,0.0002374,-0.183415359,0.802,0.884,1
Pdcd4,0.00061582,-0.183626838,0.733,0.762,1
Txndc11,0.001593501,-0.18405406,0.316,0.445,1
Shoc2,0.000354115,-0.18446671,0.963,0.982,1
Fos,0.302227712,-0.184476144,0.968,0.988,1
Fundc1,0.000856885,-0.184741229,0.829,0.872,1
Tmem184b,0.000109675,-0.18477681,0.561,0.671,1
Hdgfl3,0.000192168,-0.184982518,0.925,0.951,1
Nsd3,0.000224993,-0.185439939,0.856,0.86,1
Cadm2,0.008060674,-0.185583887,0.738,0.805,1
Slc36a1,0.000669281,-0.185845012,0.957,0.976,1
Acbd5,0.000214741,-0.185946926,0.904,0.945,1
Ranbp2,0.104339743,-0.186063798,0.695,0.695,1
Pgm1,0.001015022,-0.186133972,0.877,0.89,1
Clgn,0.000832012,-0.186276397,0.877,0.921,1
Aldh1a3,0.003395245,-0.186659501,0.668,0.732,1
Ddx17,0.000218978,-0.187025291,0.904,0.927,1
1810037I17Rik,0.00070649,-0.187160515,0.979,0.982,1
mt-Nd3,0.002901621,-0.18728929,0.979,0.976,1
Otud7a,0.001840493,-0.187336838,0.706,0.738,1
Usp20,0.000102594,-0.187877032,0.807,0.89,1
mt-Co1,4.57E-05,-0.188216397,1,0.994,1
Celf6,0.000118654,-0.188581487,0.968,0.97,1
Ehbp1,0.000109436,-0.188929085,0.834,0.884,1
Msrb2,8.54E-05,-0.188974143,0.807,0.86,1
Srsf7,0.011155155,-0.189033529,0.893,0.89,1
Lims1,4.93E-05,-0.189383135,0.936,0.945,1
Phkb,0.005534276,-0.189593119,0.754,0.787,1
Cntn5,0.021228042,-0.189615364,0.813,0.866,1
Gprasp2,0.000296392,-0.189716173,0.802,0.884,1
1700023F06Rik,0.002535967,-0.189760737,0.77,0.811,1
Pja1,0.000272114,-0.189998498,0.802,0.878,1
Caskin1,9.68E-05,-0.190001604,0.781,0.823,1
Tshz2,0.003536334,-0.190128454,0.984,0.988,1
Paqr8,0.000164494,-0.190149942,0.749,0.805,1
Psd,4.33E-05,-0.190497562,0.674,0.774,1
Tmem151b,0.000277039,-0.190561374,0.615,0.75,1
Tbcc,0.003299661,-0.190802686,0.684,0.732,1
Gm47283,0.01259742,-0.19160406,0.69,0.713,1
Tenm4,0.002669495,-0.191702355,0.69,0.756,1
Fbxo9,0.000389786,-0.191804733,0.947,0.97,1
Zfyve9,0.001476567,-0.19245649,0.802,0.854,1
Frat2,0.00207941,-0.192510463,0.84,0.896,1
Copg2,0.004912114,-0.192725932,0.717,0.732,1
Cept1,0.00199837,-0.19287627,0.652,0.677,1
C2cd5,0.000682595,-0.193041666,0.626,0.774,1
Tulp4,0.001251381,-0.193051638,0.941,0.976,1
Usp22,0.014502933,-0.193416239,0.941,0.976,1
Kantr,0.00011949,-0.193451448,0.674,0.774,1
Vti1a,4.34E-05,-0.193823633,0.727,0.848,1
Herc3,0.000488338,-0.19390841,0.754,0.787,1
Ptbp2,0.009567581,-0.194064743,0.856,0.933,1
Tusc3,0.001551311,-0.194469796,0.925,0.957,1
Mat2b,6.20E-05,-0.19450103,0.882,0.945,1
Bcas3,0.000269194,-0.194643089,0.781,0.872,1
Sgsm2,0.000917003,-0.195092283,0.711,0.774,1
Arhgef11,0.000456023,-0.195603069,0.775,0.829,1
Tmcc3,0.0095954,-0.195675356,0.807,0.835,1
Dok4,0.02791375,-0.195875593,0.61,0.64,1
Prkar1a,0.000191707,-0.195909354,0.979,0.988,1
Zbtb11,0.000795661,-0.196674189,0.588,0.701,1
Trpm7,0.006895386,-0.196699991,0.615,0.683,1
Tnrc6b,0.00107262,-0.197028114,0.941,0.957,1
Sos1,0.000599899,-0.198092567,0.898,0.945,1
Rpn1,8.10E-05,-0.198095896,0.781,0.86,1
Syngr1,0.000199164,-0.198303112,0.93,0.951,1
Tmem65,0.00015053,-0.19844903,0.952,0.927,1
